,Airline,Source,Destination,Total_Stops,Day,Month,Year,Dept_Hour,Dept_Minute,Arr_Hour,Arr_Minute,hoursMinutes,Price
855,IndiGo,Banglore,Delhi,non-stop,6,6,2019,25,25,3,15,170,3943
857,IndiGo,Banglore,Delhi,non-stop,24,3,2019,20,20,0,15,175,5694
860,IndiGo,Banglore,Delhi,non-stop,3,3,2019,40,40,3,25,165,6144
861,IndiGo,Delhi,Cochin,non-stop,27,4,2019,35,35,8,50,195,6015
889,IndiGo,Kolkata,Banglore,1 stop,9,6,2019,20,20,23,45,265,4205
895,IndiGo,Delhi,Cochin,1 stop,3,3,2019,40,40,16,10,570,9027
905,IndiGo,Delhi,Cochin,1 stop,18,5,2019,35,35,16,10,455,6442
907,IndiGo,Delhi,Cochin,1 stop,21,4,2019,35,35,12,10,275,5703
909,IndiGo,Kolkata,Banglore,non-stop,15,4,2019,30,30,18,5,155,4174
912,IndiGo,Kolkata,Banglore,non-stop,21,5,2019,15,15,19,50,155,4804
929,IndiGo,Banglore,Delhi,non-stop,1,6,2019,15,15,0,15,180,3943
930,IndiGo,Mumbai,Hyderabad,non-stop,18,3,2019,55,55,18,25,90,3175
942,IndiGo,Banglore,Delhi,non-stop,12,5,2019,0,0,6,50,170,3943
944,IndiGo,Banglore,Delhi,non-stop,15,5,2019,30,30,4,15,165,3419
945,IndiGo,Banglore,Delhi,non-stop,15,3,2019,20,20,0,15,175,8033
951,IndiGo,Chennai,Kolkata,non-stop,6,6,2019,5,5,0,25,140,5277
953,IndiGo,Banglore,Delhi,non-stop,3,3,2019,0,0,6,50,170,6144
961,IndiGo,Delhi,Cochin,1 stop,27,5,2019,30,30,4,35,305,9476
968,IndiGo,Banglore,Delhi,non-stop,18,6,2019,30,30,2,20,170,3943
979,IndiGo,Chennai,Kolkata,non-stop,9,5,2019,5,5,0,25,140,5277
988,IndiGo,Delhi,Cochin,1 stop,27,5,2019,0,0,1,30,570,7048
993,IndiGo,Banglore,Delhi,non-stop,21,4,2019,55,55,19,55,180,4990
1000,IndiGo,Delhi,Cochin,1 stop,21,3,2019,35,35,1,35,420,9264
1002,IndiGo,Delhi,Cochin,1 stop,24,6,2019,5,5,12,10,425,6442
1004,IndiGo,Kolkata,Banglore,1 stop,1,5,2019,5,5,23,30,325,6218
1012,IndiGo,Kolkata,Banglore,non-stop,21,3,2019,25,25,23,5,160,4462
1016,IndiGo,Banglore,Delhi,non-stop,24,3,2019,55,55,21,45,170,7303
1022,IndiGo,Delhi,Cochin,1 stop,1,6,2019,50,50,16,10,560,6442
1026,IndiGo,Banglore,Delhi,non-stop,3,4,2019,0,0,22,50,170,4823
1027,IndiGo,Banglore,Delhi,non-stop,9,6,2019,30,30,11,20,170,4823
1053,IndiGo,Delhi,Cochin,1 stop,27,6,2019,35,35,12,10,275,5054
1057,IndiGo,Mumbai,Hyderabad,non-stop,1,5,2019,5,5,20,35,90,2754
1062,IndiGo,Delhi,Cochin,1 stop,21,5,2019,15,15,21,0,705,7318
1064,IndiGo,Delhi,Cochin,1 stop,9,6,2019,50,50,3,35,345,6195
1068,IndiGo,Delhi,Cochin,non-stop,21,6,2019,5,5,0,20,195,5406
1086,IndiGo,Delhi,Cochin,1 stop,1,6,2019,55,55,22,30,635,6674
1087,IndiGo,Mumbai,Hyderabad,non-stop,18,5,2019,5,5,21,40,95,2227
1089,IndiGo,Mumbai,Hyderabad,non-stop,21,3,2019,55,55,18,25,90,3175
1090,IndiGo,Kolkata,Banglore,non-stop,1,3,2019,35,35,12,20,165,6565
1094,IndiGo,Kolkata,Banglore,non-stop,6,3,2019,25,25,23,5,160,4778
1103,IndiGo,Banglore,Delhi,non-stop,6,5,2019,0,0,15,50,170,3943
1112,IndiGo,Mumbai,Hyderabad,non-stop,21,6,2019,20,20,22,50,90,2227
1116,IndiGo,Banglore,Delhi,non-stop,9,3,2019,20,20,0,15,175,4777
1119,IndiGo,Banglore,Delhi,non-stop,27,5,2019,30,30,2,20,170,3943
1131,IndiGo,Kolkata,Banglore,non-stop,15,3,2019,35,35,12,20,165,4148
1132,IndiGo,Delhi,Cochin,1 stop,6,3,2019,40,40,12,0,320,5647
1134,IndiGo,Delhi,Cochin,1 stop,9,5,2019,5,5,12,10,425,6818
1144,IndiGo,Banglore,Delhi,non-stop,6,4,2019,0,0,15,50,170,4423
1146,IndiGo,Delhi,Cochin,1 stop,24,5,2019,35,35,1,30,415,7503
1147,IndiGo,Kolkata,Banglore,non-stop,24,6,2019,25,25,0,5,160,4804
1156,IndiGo,Banglore,Delhi,non-stop,3,5,2019,30,30,2,20,170,4591
1164,IndiGo,Chennai,Kolkata,non-stop,15,3,2019,35,35,14,0,145,6297
1168,IndiGo,Kolkata,Banglore,1 stop,24,3,2019,55,55,16,25,270,9806
1169,IndiGo,Delhi,Cochin,1 stop,6,6,2019,50,50,3,35,345,6195
1176,IndiGo,Kolkata,Banglore,1 stop,18,5,2019,5,5,23,30,325,6704
1178,IndiGo,Kolkata,Banglore,non-stop,18,3,2019,20,20,17,55,155,4462
1182,IndiGo,Kolkata,Banglore,non-stop,21,5,2019,25,25,16,55,150,5224
1186,IndiGo,Kolkata,Banglore,non-stop,1,6,2019,35,35,12,10,155,4804
1192,IndiGo,Delhi,Cochin,non-stop,6,6,2019,35,35,8,50,195,5601
1207,IndiGo,Delhi,Cochin,1 stop,21,5,2019,10,10,0,55,525,6778
1208,IndiGo,Mumbai,Hyderabad,non-stop,15,6,2019,0,0,13,30,90,2754
1216,IndiGo,Delhi,Cochin,1 stop,27,4,2019,0,0,7,25,325,5796
1219,IndiGo,Delhi,Cochin,1 stop,24,4,2019,50,50,12,10,320,5298
1223,IndiGo,Kolkata,Banglore,non-stop,15,5,2019,35,35,12,20,165,4804
1227,IndiGo,Delhi,Cochin,1 stop,27,5,2019,20,20,22,30,490,6938
1237,IndiGo,Delhi,Cochin,1 stop,27,3,2019,25,25,15,30,425,8075
1242,IndiGo,Mumbai,Hyderabad,non-stop,15,3,2019,5,5,20,30,85,2754
1258,IndiGo,Delhi,Cochin,1 stop,21,3,2019,40,40,22,20,940,6558
1265,IndiGo,Delhi,Cochin,1 stop,24,6,2019,40,40,21,0,860,6093
1269,IndiGo,Chennai,Kolkata,non-stop,1,6,2019,40,40,18,25,165,3540
1273,IndiGo,Delhi,Cochin,1 stop,3,6,2019,30,30,21,0,750,6416
1276,IndiGo,Banglore,Delhi,non-stop,3,5,2019,55,55,19,55,180,4823
1282,IndiGo,Banglore,Delhi,non-stop,18,5,2019,30,30,11,20,170,4823
1292,IndiGo,Kolkata,Banglore,non-stop,21,6,2019,40,40,7,15,155,4804
1298,IndiGo,Delhi,Cochin,1 stop,18,5,2019,25,25,1,30,305,6069
1299,IndiGo,Delhi,Cochin,1 stop,27,5,2019,55,55,22,30,635,6442
1304,IndiGo,Kolkata,Banglore,non-stop,18,6,2019,25,25,16,55,150,4804
1306,IndiGo,Banglore,Delhi,non-stop,24,5,2019,30,30,2,20,170,4591
1309,IndiGo,Banglore,Delhi,non-stop,6,5,2019,10,10,10,5,175,4823
1320,IndiGo,Kolkata,Banglore,1 stop,6,5,2019,15,15,20,5,290,4775
1330,IndiGo,Mumbai,Hyderabad,non-stop,3,6,2019,10,10,10,40,90,4049
1331,IndiGo,Kolkata,Banglore,non-stop,24,3,2019,10,10,12,55,165,6565
1338,IndiGo,Banglore,Delhi,non-stop,24,5,2019,30,30,11,20,170,4823
1344,IndiGo,Banglore,Delhi,non-stop,21,6,2019,0,0,22,50,170,4823
1349,IndiGo,Delhi,Cochin,1 stop,12,6,2019,25,25,1,30,845,5883
1354,IndiGo,Banglore,Delhi,1 stop,21,3,2019,35,35,0,35,300,6575
1358,IndiGo,Kolkata,Banglore,1 stop,1,4,2019,10,10,13,0,290,5069
1361,IndiGo,Delhi,Cochin,1 stop,6,6,2019,0,0,7,45,345,6386
1364,IndiGo,Banglore,Delhi,non-stop,18,5,2019,30,30,2,20,170,4591
1366,IndiGo,Kolkata,Banglore,non-stop,12,4,2019,40,40,7,15,155,4174
1370,IndiGo,Delhi,Cochin,1 stop,27,3,2019,10,10,22,20,370,6412
1375,IndiGo,Kolkata,Banglore,non-stop,6,5,2019,30,30,18,5,155,4804
1377,IndiGo,Delhi,Cochin,1 stop,9,6,2019,10,10,22,30,380,6412
1379,IndiGo,Chennai,Kolkata,non-stop,6,6,2019,35,35,14,0,145,3858
1385,IndiGo,Kolkata,Banglore,non-stop,3,5,2019,20,20,22,55,155,4804
1391,IndiGo,Delhi,Cochin,1 stop,15,6,2019,15,15,12,30,315,6582
1396,IndiGo,Delhi,Cochin,1 stop,6,4,2019,0,0,7,25,325,5046
1402,IndiGo,Kolkata,Banglore,non-stop,6,5,2019,30,30,14,5,155,5224
1404,IndiGo,Mumbai,Hyderabad,non-stop,18,3,2019,5,5,20,30,85,2754
1407,IndiGo,Delhi,Cochin,1 stop,27,5,2019,25,25,1,30,305,5054
1410,IndiGo,Kolkata,Banglore,non-stop,24,5,2019,25,25,16,55,150,5224
1411,IndiGo,Banglore,Delhi,1 stop,1,3,2019,10,10,17,5,295,9694
1412,IndiGo,Delhi,Cochin,1 stop,21,3,2019,10,10,1,35,505,7318
1413,IndiGo,Delhi,Cochin,1 stop,21,5,2019,35,35,12,10,275,5054
1419,IndiGo,Delhi,Cochin,1 stop,9,3,2019,45,45,13,40,355,6755
1428,IndiGo,Mumbai,Hyderabad,non-stop,1,5,2019,5,5,21,40,95,2227
1430,IndiGo,Kolkata,Banglore,non-stop,9,6,2019,25,25,0,5,160,4804
1431,IndiGo,Delhi,Cochin,1 stop,6,6,2019,35,35,12,10,275,5458
1439,IndiGo,Delhi,Cochin,1 stop,12,6,2019,35,35,12,10,275,5054
1441,IndiGo,Banglore,Delhi,non-stop,15,4,2019,25,25,21,20,175,4823
1446,IndiGo,Delhi,Cochin,1 stop,12,6,2019,5,5,16,10,665,6818
1449,IndiGo,Kolkata,Banglore,non-stop,15,5,2019,15,15,0,50,155,4804
1451,IndiGo,Delhi,Cochin,1 stop,21,3,2019,45,45,1,35,890,7318
1452,IndiGo,Chennai,Kolkata,non-stop,21,3,2019,55,55,10,15,140,3384
1457,IndiGo,Banglore,Delhi,non-stop,3,6,2019,30,30,2,20,170,4591
1462,IndiGo,Delhi,Cochin,1 stop,24,6,2019,30,30,4,35,305,9165
1473,IndiGo,Chennai,Kolkata,non-stop,18,5,2019,55,55,10,15,140,3850
1474,IndiGo,Mumbai,Hyderabad,non-stop,1,6,2019,55,55,18,25,90,3175
1477,IndiGo,Mumbai,Hyderabad,non-stop,27,3,2019,10,10,10,40,90,4392
1482,IndiGo,Delhi,Cochin,1 stop,27,5,2019,35,35,22,30,835,6442
1486,IndiGo,Delhi,Cochin,non-stop,9,6,2019,5,5,0,20,195,6015
1490,IndiGo,Delhi,Cochin,1 stop,12,6,2019,35,35,16,10,455,6442
1503,IndiGo,Chennai,Kolkata,non-stop,12,5,2019,15,15,15,35,140,3597
1504,IndiGo,Banglore,Delhi,non-stop,9,6,2019,30,30,4,15,165,4077
1508,IndiGo,Delhi,Cochin,1 stop,9,6,2019,30,30,1,30,480,6104
1514,IndiGo,Delhi,Cochin,1 stop,3,3,2019,55,55,12,0,425,9585
1516,IndiGo,Delhi,Cochin,1 stop,9,5,2019,10,10,20,0,290,6147
1524,IndiGo,Chennai,Kolkata,non-stop,24,5,2019,15,15,15,35,140,3597
1527,IndiGo,Delhi,Cochin,1 stop,27,3,2019,25,25,21,0,755,8285
1530,IndiGo,Banglore,Delhi,non-stop,24,4,2019,5,5,8,50,165,4423
1532,IndiGo,Banglore,Delhi,non-stop,3,3,2019,30,30,2,20,170,6144
1534,IndiGo,Kolkata,Banglore,non-stop,27,3,2019,25,25,0,5,160,4148
1539,IndiGo,Delhi,Cochin,1 stop,6,6,2019,20,20,22,30,490,6938
1540,IndiGo,Delhi,Cochin,1 stop,12,6,2019,30,30,21,0,750,6093
1541,IndiGo,Banglore,Delhi,non-stop,15,5,2019,10,10,13,0,170,3943
1552,IndiGo,Banglore,Delhi,non-stop,3,3,2019,55,55,19,45,170,8855
1554,IndiGo,Banglore,Delhi,non-stop,24,6,2019,5,5,8,50,165,3943
1558,IndiGo,Kolkata,Banglore,1 stop,1,5,2019,20,20,14,15,295,8443
1563,IndiGo,Kolkata,Banglore,1 stop,15,4,2019,15,15,20,30,315,4775
1568,IndiGo,Mumbai,Hyderabad,non-stop,12,5,2019,20,20,22,50,90,2227
1581,IndiGo,Delhi,Cochin,1 stop,3,6,2019,30,30,21,0,810,6093
1586,IndiGo,Delhi,Cochin,1 stop,6,4,2019,35,35,12,10,275,5073
1592,IndiGo,Banglore,Delhi,non-stop,9,5,2019,30,30,4,15,165,3419
1594,IndiGo,Delhi,Cochin,1 stop,24,4,2019,10,10,20,0,290,6027
1612,IndiGo,Banglore,Delhi,non-stop,6,4,2019,5,5,8,50,165,4423
1615,IndiGo,Delhi,Cochin,1 stop,1,6,2019,35,35,12,10,275,5054
1619,IndiGo,Banglore,Delhi,non-stop,3,6,2019,15,15,0,15,180,3943
1622,IndiGo,Banglore,Delhi,non-stop,24,4,2019,0,0,15,50,170,4423
1635,IndiGo,Banglore,Delhi,non-stop,6,5,2019,0,0,22,50,170,4823
1640,IndiGo,Mumbai,Hyderabad,non-stop,12,5,2019,10,10,10,40,90,4049
1642,IndiGo,Delhi,Cochin,1 stop,9,6,2019,50,50,22,30,940,6442
1644,IndiGo,Delhi,Cochin,1 stop,24,6,2019,35,35,22,30,835,6442
1645,IndiGo,Banglore,Delhi,non-stop,21,4,2019,0,0,22,50,170,4823
1659,IndiGo,Banglore,Delhi,non-stop,1,5,2019,0,0,6,50,170,3943
1660,IndiGo,Delhi,Cochin,1 stop,18,5,2019,25,25,21,0,575,7191
1670,IndiGo,Kolkata,Banglore,non-stop,27,6,2019,40,40,7,15,155,4804
1671,IndiGo,Chennai,Kolkata,non-stop,12,6,2019,15,15,15,35,140,3597
1686,IndiGo,Delhi,Cochin,1 stop,6,5,2019,30,30,21,0,810,7191
